Source_File,Extracted_Numbers...
case_6/case_6_all_data.json,9.915
case_6/case_6_all_data.json,11.007
case_6/case_6_all_data.json,11.486
case_6/case_6_all_data.json,11.859
case_6/case_6_all_data.json,11.528
case_6/case_6_all_data.json,11.358
case_6/case_6_all_data.json,11.746
case_6/case_6_all_data.json,11.253
case_6/case_6_all_data.json,11.849
case_6/case_6_all_data.json,11.777
case_6/case_6_all_data.json,11.821
case_6/case_6_all_data.json,11.611
case_6/case_6_all_data.json,11.836
case_6/case_6_all_data.json,11.612
case_6/case_6_all_data.json,11.686
case_6/case_6_all_data.json,11.674
case_6/case_6_all_data.json,11.539
case_6/case_6_all_data.json,11.63
case_6/case_6_all_data.json,9.691
case_6/case_6_all_data.json,10.779
case_6/case_6_all_data.json,11.865
case_6/case_6_all_data.json,11.716
case_6/case_6_all_data.json,10.463
case_6/case_6_all_data.json,11.332
case_6/case_6_all_data.json,11.458
case_6/case_6_all_data.json,11.884
case_6/case_6_all_data.json,11.199
case_6/case_6_all_data.json,11.843
case_6/case_6_all_data.json,11.544
case_6/case_6_all_data.json,11.899
case_6/case_6_all_data.json,11.744
case_6/case_6_all_data.json,11.98
case_6/case_6_all_data.json,11.922
case_6/case_6_all_data.json,11.723
case_6/case_6_all_data.json,11.614
case_6/case_6_all_data.json,11.881
case_6/case_6_all_data.json,11.916
case_6/case_6_all_data.json,10.82
case_6/case_6_all_data.json,10.84
case_6/case_6_all_data.json,11.763
case_6/case_6_all_data.json,11.623
case_6/case_6_all_data.json,11.644
case_6/case_6_all_data.json,11.265
case_6/case_6_all_data.json,11.842
case_6/case_6_all_data.json,11.77
case_6/case_6_all_data.json,11.88
case_6/case_6_all_data.json,11.861
case_6/case_6_all_data.json,11.59
case_6/case_6_all_data.json,11.887
case_6/case_6_all_data.json,11.705
case_7/case_7_all_data.json,7.846
case_7/case_7_all_data.json,8.243
case_7/case_7_all_data.json,9.219
case_7/case_7_all_data.json,8.47
case_7/case_7_all_data.json,9.066
case_7/case_7_all_data.json,9.328
case_7/case_7_all_data.json,9.191
case_7/case_7_all_data.json,9.188
case_7/case_7_all_data.json,9.833
case_7/case_7_all_data.json,9.648
case_7/case_7_all_data.json,9.555
case_7/case_7_all_data.json,9.856
case_7/case_7_all_data.json,8.372
case_7/case_7_all_data.json,10.864
case_7/case_7_all_data.json,9.752
case_7/case_7_all_data.json,9.443
case_7/case_7_all_data.json,9.35
case_7/case_7_all_data.json,9.214
case_7/case_7_all_data.json,9.518
