Episode,Reward,LUT,DSP,Graph_Index,Target_DSP
97,-1017.6197678172729,3944,213,2,10
98,-1963.2482957836473,5059,410,3,18
99,-1743.1419812963536,5146,366,3,18
100,-1008.3299997470591,4759,251,3,50
101,-1293.4211095267447,4576,308,3,50
102,-1514.5327063088557,6379,345,7,43
103,-1014.1718037160771,5842,245,7,43
104,-2218.150176423614,5252,453,3,10
105,-3152.9983877004056,5892,640,3,10
106,-1374.1837721535942,6519,371,7,97
107,-1213.8260837747666,5854,339,7,97
108,-8148.798939366153,6237,1639,6,10
109,-7288.558576837097,6475,1467,6,10
110,-1153.4973687760119,4724,255,3,25
111,-1333.4830038070465,4739,291,3,25
112,-348.21393902613966,3590,29,1,167
113,-92.767290612994,2772,131,1,167
114,-107.90042520817843,3983,107,1,86
115,-817.6352675812419,3270,249,1,86
116,-322.8760316481957,3475,257,1,193
117,-190.362778430236,2300,118,1,193
118,-303.06142952807875,3718,70,1,190
119,-52.4323401223963,4116,200,1,190
120,-212.75847176285677,2525,93,1,51
121,-1227.5931014008638,3975,296,1,51
122,-1239.095805587061,5639,328,7,81
123,-539.3156098453734,5574,188,7,81
124,-622.7423830776215,3201,235,1,111
125,-817.9103549759562,2725,274,1,111
126,-1224.2162894350947,5952,322,7,78
127,-1244.0428617015286,5582,326,7,78
128,-1153.1721146246675,3630,309,1,79
129,-77.70039007955982,2565,49,1,79
130,-89.72044523016612,2797,122,1,157
131,-351.1710208937781,4013,18,1,157
132,-1749.4606519053323,5961,405,5,56
133,-1914.3015312189245,6069,438,5,56
134,-4978.466725682627,4931,1002,9,7
135,-4448.853023174661,5186,896,9,7
136,-1693.025719170503,3453,367,1,29
137,-347.6412556309019,3186,98,1,29
138,-1973.9638596049442,5690,459,7,65
139,-1623.9786624310568,6065,389,7,65
140,-1793.8852345944938,5893,360,8,2
141,-2778.3091925826725,6339,557,8,2
142,-508.3595910058302,4100,143,3,42
143,-673.4074578521517,4194,176,3,42
144,-135.30343448109096,2840,43,1,96
145,-1132.9799721989652,3695,322,1,96
146,-1698.6106240645015,5509,359,3,20
147,-1293.30359657394,4602,278,3,20
148,-1228.7526078438875,5281,262,8,17
149,-628.8915869616553,4406,142,8,17
150,-3263.081514548239,6186,661,4,9
151,-3818.512183246073,7044,772,4,9
152,-130.32291466800982,3388,130,1,181
153,-113.4716403956206,4112,203,1,181
154,-2790.618559139785,11264,565,0,8
