Episode,Reward,LUT,DSP,Graph_Index,Target_DSP
689,-106.59146777697971,4260,11,3,52
690,-5.665241086959838,4476,17,3,16
691,-12.063407314300537,4826,18,3,16
692,-57.94180422496795,3314,20,6,9
693,-228.4576767394439,3446,54,6,9
694,-304.73358233004706,4983,102,5,42
695,-119.83428219985962,5659,65,5,42
696,-29.215051757985893,5113,37,5,47
697,-245.17322907015742,6044,95,5,47
698,-203.09304990351643,2257,20,1,100
699,-158.55965157872154,3255,38,1,100
700,-10.578637077331543,2104,2,8,0
701,-4.186085088729858,1891,1,8,0
702,-54.69901382010324,5488,58,5,78
703,-99.76141904185369,5328,40,5,78
704,-27.33938192575628,1998,0,8,10
705,-16.89897951725551,1964,4,8,10
706,-186.02293699780026,3060,60,1,133
707,-186.02293699780026,3060,60,1,133
708,-13.546635083198547,1383,2,2,7
709,-16.253639151845658,1226,1,2,7
710,-23.967167561213177,4777,19,7,27
711,-31.476129304885866,4349,16,7,27
712,-3.8584515075683594,5596,39,5,40
713,-199.86086778068542,5488,79,5,40
714,-123.32428834915162,3060,60,1,36
715,-123.32428834915162,3060,60,1,36
716,-416.31447716361356,3806,19,1,184
717,-313.5642883491516,3060,60,1,184
718,-101.13079748916626,3516,38,1,77
719,-45.70762168248495,3060,60,1,77
720,-8.21752583503723,1865,0,4,3
721,-8.160168455123902,1771,0,4,3
722,-156.00332060721612,3060,60,1,121
723,-236.2815028698698,3714,28,1,121
724,-251.05193606567383,3174,21,1,120
725,-153.50133752947949,3060,60,1,120
726,-53.41101326125009,3390,64,1,84
727,-65.72328616318337,2891,59,1,84
728,-48.53264628319992,3676,65,1,83
729,-135.7075977405972,2528,30,1,83
730,-368.85779706620195,3709,37,1,183
731,-375.7017802867889,2382,34,1,183
732,-313.7126643810272,3377,63,1,187
733,-321.0656945991516,3060,60,1,187
734,-159.24621061706543,4488,68,7,37
735,-62.174280292510986,5089,14,7,37
736,-224.6186912059141,4517,17,7,105
737,-219.1900544464506,3928,19,7,105
738,-153.38235286528064,3060,60,1,30
739,-148.2617477016449,2891,59,1,30
740,-77.36877177429199,5539,37,5,66
741,-62.07336301803589,5150,43,5,66
742,-251.271496175766,3548,53,1,152
743,-288.6134818064648,3255,38,1,152
744,-113.00184722278429,2695,24,6,2
745,-418.524262291772,3203,85,6,2
746,-158.3884884300232,3063,74,1,43
747,-88.20762168248494,3060,60,1,43
748,-286.05849887546736,3060,60,1,173
749,-286.05849887546736,3060,60,1,173
750,-61.84759020805359,4625,26,7,49
751,-77.03804333114624,4798,20,7,49
752,-83.39559070275045,3063,74,1,106
753,-138.5735594288219,3251,52,1,106
754,-5.049173233032226,1819,0,4,2
755,-5.093409858703613,1897,0,4,2
756,-56.8744106017026,4824,42,7,63
757,-96.74944447376853,4106,26,7,63
758,-5.0588272190094,1995,8,4,10
759,-26.983585131818597,1890,0,4,10
760,-16.747863430023195,3063,74,1,71
761,-115.8606307294265,2887,26,1,71
762,-13.880108512878419,1853,0,4,5
763,-8.073274610519409,1921,2,4,5
764,-42.79095501581828,3060,60,1,52
765,-21.966977354049682,2717,56,1,52
766,-68.08857406343732,3060,60,1,47
767,-98.39421801757813,3304,66,1,47
768,-88.13220091520037,2528,30,1,64
769,-12.12428834915161,3060,60,1,64
770,-71.55159456116813,4030,24,7,51
771,-84.16696699021078,4087,19,7,51
772,-117.50484970664978,1672,23,9,0
773,-26.596089551925658,1821,5,9,0
774,-218.5380814525999,3060,60,1,146
775,-293.5873003365933,3196,30,1,146
776,-79.30149246406555,4974,36,5,21
777,-84.42904822271011,5006,37,5,21
778,-78.38235286528065,3060,60,1,90
779,-78.38235286528065,3060,60,1,90
780,-131.02003017704303,3147,56,1,107
781,-120.96803834915161,3060,60,1,107
782,-159.75522922879173,4940,17,7,79
783,-154.1077648022761,3753,19,7,79
784,-73.12428834915161,3060,60,1,46
785,-73.12428834915161,3060,60,1,46
786,-406.0779920528553,3060,60,1,221
787,-371.0721877543475,3063,74,1,221
788,-113.14000004813983,2994,30,6,8
789,-8.866485839843751,2487,5,6,8
790,-192.03398223997416,4437,17,7,92
791,-194.5561868076572,4478,16,7,92
792,-273.50367142794545,2967,27,1,135
793,-191.02560413862528,3060,60,1,135
794,-102.37844921684265,5382,43,5,82
795,-127.213255235672,5019,33,5,82
796,-53.156843203953336,2946,38,1,58
797,-11.12428834915161,3060,60,1,58
798,-64.25606275558472,4245,17,7,41
799,-46.755188803990684,4494,24,7,41
800,-358.571840796704,3060,60,1,202
801,-368.5617194638155,3048,56,1,202
802,-59.29195302391052,5393,65,5,54
803,-39.56617265129089,5508,40,5,54
804,-201.1754680175781,3304,66,1,145
805,-298.50945355731096,2967,27,1,145
806,-91.56199729983013,4203,11,3,46
807,-81.50465769386291,4242,15,3,46
808,-3.6631127700805663,5122,36,5,37
809,-26.658372205734253,5113,28,5,37
810,-7.380904417037964,4835,46,7,48
811,-44.18203730123184,4408,32,7,48
812,-119.55441882705688,5027,86,5,63
813,-6.0947115516662596,5020,64,5,63
814,4.994629089355469,1916,0,4,0
815,4.845732734680176,1979,0,4,0
816,-143.89353786247656,3918,61,1,117
817,-215.84289342747178,2675,32,1,117
818,-338.7126005628374,3390,64,1,198
819,-431.0288741162322,2967,27,1,198
820,3.7479965686798096,3250,73,1,73
821,-38.0117477016449,2891,59,1,73
822,-341.06914129032805,3060,60,1,195
823,-341.06914129032805,3060,60,1,195
824,-89.76935628591265,5313,38,5,72
825,-99.79378769229008,5308,34,5,72
826,-22.177810101191206,2026,1,8,9
827,-24.68214218330383,1919,0,8,9
828,-103.26714549200875,3060,60,1,40
829,-103.26714549200875,3060,60,1,40
830,-136.12946508831448,3330,60,1,113
831,-123.77432190081538,3676,65,1,113
832,-79.0055301666875,4159,11,3,41
833,-64.10987141418458,4456,17,3,41
834,-112.3211630559401,5386,37,5,80
835,-94.67126332741815,5258,44,5,80
836,-326.06659604145926,3060,60,1,189
837,-326.06659604145926,3060,60,1,189
838,-500.93546437263484,2805,19,1,218
839,-448.3954601167647,2697,40,1,218
840,-169.56341409449792,4491,34,7,100
841,-211.95128977475846,4368,17,7,100
842,-386.0755870504503,3060,60,1,213
843,-470.69390361656025,2386,26,1,213
844,-5.6235450019836435,4423,12,3,11
845,-38.36439198493957,4380,18,3,11
846,-222.06931735160134,4468,15,7,102
847,-214.21081380103615,3933,18,7,102
848,-99.21010739326476,4390,42,7,23
849,-134.59641584099666,5321,49,7,23
850,-353.57109685978986,3060,60,1,200
851,-420.9926215185438,2935,33,1,200
852,-42.436061844507854,2436,16,8,8
853,-16.887765733991348,1931,2,8,8
854,-21.52134809557597,1268,0,2,8
855,-21.5163810822169,1211,0,2,8
856,-33.90743460110256,5610,36,7,30
857,-17.731521213531494,4351,33,7,30
858,-8.43301712989807,1740,1,9,4
859,-8.365520627975464,1616,1,9,4
860,-64.17144139069778,4665,32,7,20
861,-44.0117294661204,5140,28,7,20
862,-77.34173496055602,5456,46,5,75
863,-56.940136031237515,5090,54,5,75
864,-209.28373404562615,3883,19,7,101
865,-197.30378739987887,4909,24,7,101
866,-151.11616230773924,3316,32,1,91
867,-80.88991334915161,3060,60,1,91
868,-144.72398612568296,5248,52,5,24
869,-54.280863895589654,5219,34,5,24
870,-85.58300086458992,2513,29,1,62
871,-6.1242883491516125,3060,60,1,62
872,-343.56954382360414,3060,60,1,196
873,-333.71176514094935,3390,64,1,196
874,-140.99035977772303,3060,60,1,115
875,-215.7592773271605,2528,30,1,115
876,-198.52935164029086,3060,60,1,138
877,-93.5028041027172,3158,102,1,138
878,-6.23144419670105,3410,79,1,81
879,-73.58787548611082,3548,53,1,81
880,-122.3664539012909,5382,36,7,83
881,-152.2730980052948,4928,24,7,83
882,-6.096532791137696,3111,2,0,4
883,3.911211923599243,3067,4,0,4
884,-5.124459449768066,1834,2,4,4
885,-11.230716696739197,1957,0,4,4
886,-40.65553834915161,3060,60,1,75
887,-40.65553834915161,3060,60,1,75
888,-108.925427077493,3797,40,7,82
889,-126.89706721305846,4225,33,7,82
890,-24.067984727859496,1208,0,2,9
891,-24.076733071327208,1239,0,2,9
892,-16.8812477684021,3395,3,0,0
893,-4.79293955039978,2964,1,0,0
894,-4.817984727859497,1208,0,2,2
895,-1.0597627792358395,1357,1,2,2
896,-343.80690259535413,3621,121,1,53
897,-27.712812406539918,3789,58,1,53
898,-11.425754308700562,1875,3,8,7
899,-8.55722063446045,1893,4,8,7
